,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
528,1,12.515,0,4,1,20,10
529,1,12.515,0,8,1,20,10
530,1,12.515,0,12,1,20,10
531,1,12.515,0,4,1,40,10
532,1,12.515,0,8,1,40,10
533,1,12.515,0,12,1,40,10
534,1,12.515,0,4,1,60,10
535,1,12.515,0,8,1,60,10
536,1,12.515,0,12,1,60,10
537,1,12.515,0,4,1,80,10
538,1,12.515,0,8,1,80,10
539,1,12.515,0,12,1,80,10
540,1,6.12,0,4,200,20,500
541,1,6.12,0,8,200,20,500
542,1,6.12,0,12,200,20,500
543,1,6.12,0,4,200,40,500
544,1,6.12,0,8,200,40,500
545,1,6.12,0,12,200,40,500
546,1,6.12,0,4,200,60,500
547,1,6.12,0,8,200,60,500
548,1,6.12,0,12,200,60,500
549,1,6.12,0,4,200,80,500
550,1,6.12,0,8,200,80,500
551,1,6.12,0,12,200,80,500
552,1,6.12,0,4,100,20,500
553,1,6.12,0,8,100,20,500
554,1,6.12,0,12,100,20,500
555,1,6.12,0,4,100,40,500
556,1,6.12,0,8,100,40,500
557,1,6.12,0,12,100,40,500
558,1,6.12,0,4,100,60,500
559,1,6.12,0,8,100,60,500
560,1,6.12,0,12,100,60,500
561,1,6.12,0,4,100,80,500
562,1,6.12,0,8,100,80,500
563,1,6.12,0,12,100,80,500
564,1,6.12,0,4,50,20,500
565,1,6.12,0,8,50,20,500
566,1,6.12,0,12,50,20,500
567,1,6.12,0,4,50,40,500
568,1,6.12,0,8,50,40,500
569,1,6.12,0,12,50,40,500
570,1,6.12,0,4,50,60,500
571,1,6.12,0,8,50,60,500
572,1,6.12,0,12,50,60,500
573,1,6.12,0,4,50,80,500
574,1,6.12,0,8,50,80,500
575,1,6.12,0,12,50,80,500
576,1,6.12,0,4,10,20,500
577,1,6.12,0,8,10,20,500
578,1,6.12,0,12,10,20,500
579,1,6.12,0,4,10,40,500
580,1,6.12,0,8,10,40,500
581,1,6.12,0,12,10,40,500
582,1,6.12,0,4,10,60,500
583,1,6.12,0,8,10,60,500
584,1,6.12,0,12,10,60,500
585,1,6.12,0,4,10,80,500
586,1,6.12,0,8,10,80,500
587,1,6.12,0,12,10,80,500
588,1,6.12,0,4,1,20,500
589,1,6.12,0,8,1,20,500
590,1,6.12,0,12,1,20,500
591,1,6.12,0,4,1,40,500
592,1,6.12,0,8,1,40,500
593,1,6.12,0,12,1,40,500
594,1,6.12,0,4,1,60,500
595,1,6.12,0,8,1,60,500
596,1,6.12,0,12,1,60,500
597,1,6.12,0,4,1,80,500
598,1,6.12,0,8,1,80,500
599,1,6.12,0,12,1,80,500
600,1,6.12,0,4,200,20,100
601,1,6.12,0,8,200,20,100
602,1,6.12,0,12,200,20,100
603,1,6.12,0,4,200,40,100
604,1,6.12,0,8,200,40,100
605,1,6.12,0,12,200,40,100
606,1,6.12,0,4,200,60,100
607,1,6.12,0,8,200,60,100
608,1,6.12,0,12,200,60,100
609,1,6.12,0,4,200,80,100
610,1,6.12,0,8,200,80,100
611,1,6.12,0,12,200,80,100
612,1,6.12,0,4,100,20,100
613,1,6.12,0,8,100,20,100
614,1,6.12,0,12,100,20,100
615,1,6.12,0,4,100,40,100
616,1,6.12,0,8,100,40,100
617,1,6.12,0,12,100,40,100
618,1,6.12,0,4,100,60,100
619,1,6.12,0,8,100,60,100
620,1,6.12,0,12,100,60,100
