,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_PC3
233,414,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,40,500,217.2,24.76666667,4.605
234,415,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,60,500,218.4,22.4,10.583
235,416,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,60,500,152.1333333,23.5,6.937
236,417,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,60,500,101.8666667,21.46666667,4.905
237,418,DOTAP,1,0,12.515,52.6,0,4,36,2,4,1,80,500,200.6,12.93333333,9.497
238,419,DOTAP,1,0,12.515,52.6,0,4,36,2,8,1,80,500,133.7333333,31.5,7.063
239,420,DOTAP,1,0,12.515,52.6,0,4,36,2,12,1,80,500,3927.0,-16.6,4.836
240,421,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,20,100,2056.666667,-27.6,2.197
241,422,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,20,100,576.1666667,-2.563333333,1.792
242,423,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,20,100,453.7333333,1.926666667,1.792
243,429,DOTAP,1,0,12.515,52.6,0,4,36,2,12,200,60,100,165.1666667,4.56,2.565
244,430,DOTAP,1,0,12.515,52.6,0,4,36,2,4,200,80,100,152.2,1.253333333,2.303
245,431,DOTAP,1,0,12.515,52.6,0,4,36,2,8,200,80,100,143.4666667,4.306666667,2.565
