Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,18PG,DOPE,DSPC,DOTAP,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_ARPE19
132,18PG,0,1,8.8188,3,10,1,1,0,0,0,208.8333333,0.286,-0.976,12,9.090909091,80,0.497512438,4.127
133,18PG,0,1,8.8188,3,10,1,1,0,0,0,129.5333333,0.231666667,-1.733333333,4,9.090909091,20,0.99009901,1.792
134,18PG,0,1,8.8188,3,10,1,1,0,0,0,247.0333333,0.714,-1.54,8,9.090909091,20,0.99009901,1.5
135,18PG,0,1,8.8188,3,10,1,1,0,0,0,1955.333333,0.704333333,-1.195666667,12,9.090909091,20,0.99009901,1.5
136,18PG,0,1,8.8188,3,10,1,1,0,0,0,181.4666667,0.334,-1.7,4,9.090909091,40,0.99009901,1.792
137,18PG,0,1,8.8188,3,10,1,1,0,0,0,144.4,0.396,-0.988333333,8,9.090909091,40,0.99009901,1.792
138,18PG,0,1,8.8188,3,10,1,1,0,0,0,123.8,0.366333333,-2.643333333,12,9.090909091,40,0.99009901,2.398
139,18PG,0,1,8.8188,3,10,1,1,0,0,0,253.1333333,0.477333333,-0.603333333,4,9.090909091,60,0.99009901,1.792
140,18PG,0,1,8.8188,3,10,1,1,0,0,0,212.9666667,0.330666667,-0.511666667,8,9.090909091,60,0.99009901,3.989
141,18PG,0,1,8.8188,3,10,1,1,0,0,0,219.6333333,0.313,-1.116666667,12,9.090909091,60,0.99009901,3.638
142,18PG,0,1,8.8188,3,10,1,1,0,0,0,243.4333333,0.302666667,2.933333333,4,9.090909091,80,0.99009901,1.609
143,18PG,0,1,8.8188,3,10,1,1,0,0,0,226.2666667,0.251333333,0.520333333,8,9.090909091,80,0.99009901,2.833
144,18PG,0,1,8.8188,3,10,1,1,0,0,0,262.2333333,0.095333333,-2.67,12,9.090909091,80,0.99009901,3.689
145,18PG,0,1,8.8188,3,10,1,1,0,0,0,135.9333333,0.257333333,-1.596666667,4,9.090909091,20,1.960784314,1.792
146,18PG,0,1,8.8188,3,10,1,1,0,0,0,967.0333333,1.0,-1.566666667,8,9.090909091,20,1.960784314,1.792
147,18PG,0,1,8.8188,3,10,1,1,0,0,0,1599.666667,0.223666667,-2.373333333,12,9.090909091,20,1.960784314,1.792
148,18PG,0,1,8.8188,3,10,1,1,0,0,0,113.75,0.3625,-1.247666667,4,9.090909091,40,1.960784314,2.197
149,18PG,0,1,8.8188,3,10,1,1,0,0,0,142.2666667,0.315,-1.014,8,9.090909091,40,1.960784314,1.5
150,18PG,0,1,8.8188,3,10,1,1,0,0,0,142.3333333,0.393333333,-3.99,12,9.090909091,40,1.960784314,1.609
151,18PG,0,1,8.8188,3,10,1,1,0,0,0,256.9666667,0.289333333,-10.79333333,4,9.090909091,60,1.960784314,1.946
152,18PG,0,1,8.8188,3,10,1,1,0,0,0,205.9333333,0.315,-1.503333333,8,9.090909091,60,1.960784314,1.609
153,18PG,0,1,8.8188,3,10,1,1,0,0,0,184.7,0.339666667,-1.180333333,12,9.090909091,60,1.960784314,1.792
154,18PG,0,1,8.8188,3,10,1,1,0,0,0,244.4333333,0.245,1.269666667,4,9.090909091,80,1.960784314,1.5
155,18PG,0,1,8.8188,3,10,1,1,0,0,0,247.3666667,0.241333333,-1.149666667,8,9.090909091,80,1.960784314,1.609
156,18PG,0,1,8.8188,3,10,1,1,0,0,0,250.6333333,0.152666667,-1.219666667,12,9.090909091,80,1.960784314,3.258
157,18PG,0,1,8.8188,3,10,1,1,0,0,0,636.7,1.0,-2.273333333,4,9.090909091,20,9.090909091,1.609
158,18PG,0,1,8.8188,3,10,1,1,0,0,0,691.7,0.956666667,-1.220666667,8,9.090909091,20,9.090909091,1.792
159,18PG,0,1,8.8188,3,10,1,1,0,0,0,1708.333333,0.6,-1.876666667,12,9.090909091,20,9.090909091,1.946
160,18PG,0,1,8.8188,3,10,1,1,0,0,0,111.6666667,0.341,-1.019766667,4,9.090909091,40,9.090909091,1.792
161,18PG,0,1,8.8188,3,10,1,1,0,0,0,148.1333333,0.512,-1.61,8,9.090909091,40,9.090909091,1.792
162,18PG,0,1,8.8188,3,10,1,1,0,0,0,118.0,0.328666667,-1.693333333,12,9.090909091,40,9.090909091,2.079
163,18PG,0,1,8.8188,3,10,1,1,0,0,0,233.5,0.391333333,-0.879,4,9.090909091,60,9.090909091,1.609
164,18PG,0,1,8.8188,3,10,1,1,0,0,0,264.6666667,0.407666667,-0.790333333,8,9.090909091,60,9.090909091,2.485
165,18PG,0,1,8.8188,3,10,1,1,0,0,0,220.9,0.306,-1.506666667,12,9.090909091,60,9.090909091,2.197
166,18PG,0,1,8.8188,3,10,1,1,0,0,0,256.1,0.264333333,0.606333333,4,9.090909091,80,9.090909091,2.079
167,18PG,0,1,8.8188,3,10,1,1,0,0,0,278.3,0.217333333,-1.317,8,9.090909091,80,9.090909091,3.434
168,18PG,0,1,8.8188,3,10,1,1,0,0,0,265.9,0.18,-0.951333333,12,9.090909091,80,9.090909091,3.526
169,18PG,0,1,8.8188,3,10,1,1,0,0,0,675.8333333,0.61,-3.106666667,4,9.090909091,20,50.0,2.565
170,18PG,0,1,8.8188,3,10,1,1,0,0,0,682.8333333,0.205,-31.73333333,8,9.090909091,20,50.0,3.97
171,18PG,0,1,8.8188,3,10,1,1,0,0,0,464.0,0.574666667,-2.386666667,12,9.090909091,20,50.0,2.708
172,18PG,0,1,8.8188,3,10,1,1,0,0,0,163.5666667,0.133666667,-1.746666667,4,9.090909091,40,50.0,1.609
173,18PG,0,1,8.8188,3,10,1,1,0,0,0,459.9666667,0.154666667,-1.683333333,8,9.090909091,40,50.0,1.5
174,18PG,0,1,8.8188,3,10,1,1,0,0,0,753.9666667,0.546333333,-1.856666667,12,9.090909091,40,50.0,1.5
175,18PG,0,1,8.8188,3,10,1,1,0,0,0,194.8666667,0.121,-1.74,4,9.090909091,60,50.0,1.946
176,18PG,0,1,8.8188,3,10,1,1,0,0,0,934.6333333,0.794,-1.833333333,8,9.090909091,60,50.0,1.5
177,18PG,0,1,8.8188,3,10,1,1,0,0,0,1021.5,0.392,-1.422666667,12,9.090909091,60,50.0,1.609
178,18PG,0,1,8.8188,3,10,1,1,0,0,0,201.0,0.139666667,-1.713333333,4,9.090909091,80,50.0,1.609
179,18PG,0,1,8.8188,3,10,1,1,0,0,0,456.4,0.434666667,-2.203333333,8,9.090909091,80,50.0,1.5
180,18PG,0,1,8.8188,3,10,1,1,0,0,0,398.5,0.280666667,-1.184333333,12,9.090909091,80,50.0,1.5
181,DOPE,1,1,9.784,2,9,2,0,1,0,0,288.9666667,0.464333333,-7.436666667,4,0.199600798,20,0.497512438,5.568
182,DOPE,1,1,9.784,2,9,2,0,1,0,0,533.7,0.403333333,-3.523333333,8,0.199600798,20,0.497512438,6.561
183,DOPE,1,1,9.784,2,9,2,0,1,0,0,342.3333333,0.496333333,-3.396666667,12,0.199600798,20,0.497512438,6.384
184,DOPE,1,1,9.784,2,9,2,0,1,0,0,237.1333333,0.211,-4.23,4,0.199600798,40,0.497512438,4.977
185,DOPE,1,1,9.784,2,9,2,0,1,0,0,185.1333333,0.237333333,-1.803333333,8,0.199600798,40,0.497512438,6.205
186,DOPE,1,1,9.784,2,9,2,0,1,0,0,267.7333333,0.806666667,-2.356666667,12,0.199600798,40,0.497512438,6.83
187,DOPE,1,1,9.784,2,9,2,0,1,0,0,206.6,0.246666667,-5.31,4,0.199600798,60,0.497512438,5.429
188,DOPE,1,1,9.784,2,9,2,0,1,0,0,173.1333333,0.215,0.721666667,8,0.199600798,60,0.497512438,3.258
189,DOPE,1,1,9.784,2,9,2,0,1,0,0,183.6666667,0.260333333,-0.501666667,12,0.199600798,60,0.497512438,5.153
190,DOPE,1,1,9.784,2,9,2,0,1,0,0,166.6333333,0.219666667,-24.63333333,4,0.199600798,80,0.497512438,1.609
191,DOPE,1,1,9.784,2,9,2,0,1,0,0,137.6333333,0.164666667,-6.11,8,0.199600798,80,0.497512438,1.792
192,DOPE,1,1,9.784,2,9,2,0,1,0,0,158.8,0.225333333,-0.955,12,0.199600798,80,0.497512438,2.398
