Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_N2a
218,DOPE,1,1,9.784,2,9,2,465.9333333,0.358,-1.686666667,8,0.199600798,20,9.090909091,6.18
219,DOPE,1,1,9.784,2,9,2,599.5333333,0.522,-0.166206667,12,0.199600798,20,9.090909091,5.505
220,DOPE,1,1,9.784,2,9,2,197.5666667,0.262666667,-2.53,4,0.199600798,40,9.090909091,6.071
221,DOPE,1,1,9.784,2,9,2,199.4,0.327666667,2.476666667,8,0.199600798,40,9.090909091,5.749
222,DOPE,1,1,9.784,2,9,2,208.5,0.330666667,1.541666667,12,0.199600798,40,9.090909091,5.231
223,DOPE,1,1,9.784,2,9,2,193.9,0.197333333,-1.64,4,0.199600798,60,9.090909091,6.161
224,DOPE,1,1,9.784,2,9,2,159.3,0.201,2.77,8,0.199600798,60,9.090909091,6.009
225,DOPE,1,1,9.784,2,9,2,190.9666667,0.275,2.354,12,0.199600798,60,9.090909091,6.001
226,DOPE,1,1,9.784,2,9,2,166.8666667,0.266,-26.83333333,4,0.199600798,80,9.090909091,7.607
227,DOPE,1,1,9.784,2,9,2,146.8666667,0.208666667,5.42,8,0.199600798,80,9.090909091,6.916
228,DOPE,1,1,9.784,2,9,2,167.8,0.237,7.203333333,12,0.199600798,80,9.090909091,6.551
229,DOPE,1,1,9.784,2,9,2,287.7333333,0.327,2.916666667,4,0.199600798,20,50.0,6.038
