Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Size,PDI,Zeta,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio,RLU_B16
233,DOPE,1,1,9.784,2,9,36,2,205.1,0.196,4.25,8,500,40,1,3.726
234,DOPE,1,1,9.784,2,9,36,2,177.9333333,0.268,2.72,12,500,40,1,2.603
235,DOPE,1,1,9.784,2,9,36,2,224.5,0.256333333,4.343333333,4,500,60,1,2.639
236,DOPE,1,1,9.784,2,9,36,2,195.0333333,0.254,5.876666667,8,500,60,1,3.807
237,DOPE,1,1,9.784,2,9,36,2,179.0333333,0.261666667,6.29,12,500,60,1,4.167
238,DOPE,1,1,9.784,2,9,36,2,237.6333333,0.301,6.303333333,4,500,80,1,3.638
239,DOPE,1,1,9.784,2,9,36,2,164.9666667,0.183666667,11.93333333,8,500,80,1,5.185
240,DOPE,1,1,9.784,2,9,36,2,171.5333333,0.187333333,8.72,12,500,80,1,5.707
241,DOPE,1,1,9.784,2,9,36,2,177.0333333,0.31,-4.186666667,4,100,20,200,3.314
242,DOPE,1,1,9.784,2,9,36,2,223.4,0.485666667,-2.646666667,8,100,20,200,3.045
243,DOPE,1,1,9.784,2,9,36,2,169.1333333,0.368333333,-2.373333333,12,100,20,200,3.512
244,DOPE,1,1,9.784,2,9,36,2,193.5,0.275333333,-1.616666667,4,100,40,200,2.197
245,DOPE,1,1,9.784,2,9,36,2,139.0,0.236666667,-1.976666667,8,100,40,200,3.555
246,DOPE,1,1,9.784,2,9,36,2,159.2333333,0.303666667,-2.136666667,12,100,40,200,4.419
247,DOPE,1,1,9.784,2,9,36,2,171.7,0.236333333,-0.094333333,4,100,60,200,2.251
248,DOPE,1,1,9.784,2,9,36,2,150.1333333,0.232,-1.95,8,100,60,200,2.0
249,DOPE,1,1,9.784,2,9,36,2,177.5333333,0.260666667,-2.43,12,100,60,200,2.485
